old	new	kind	slice
simplyprint_ws_client.events	simplyprint_ws_client.common.events	module	A
simplyprint_ws_client.shared.events	simplyprint_ws_client.common.events	module	A
simplyprint_ws_client.shared.asyncio	simplyprint_ws_client.common.asyncio	module	A
simplyprint_ws_client.shared.worker	simplyprint_ws_client.common.worker	module	A
simplyprint_ws_client.shared.utils	simplyprint_ws_client.common.utils	module	A
simplyprint_ws_client.contrib.watchdog	simplyprint_ws_client.common.utils.watchdog	module	A
simplyprint_ws_client.contrib.model	simplyprint_ws_client.common.model	module	A
simplyprint_ws_client.shared.hardware	simplyprint_ws_client.common.hardware	module	A
simplyprint_ws_client.core.client	simplyprint_ws_client.cloud.client	module	A
simplyprint_ws_client.core.autowire	(deleted — PrinterClient owns an explicit typed protocol route table)	module	A
simplyprint_ws_client.core.state	simplyprint_ws_client.cloud.state	module	A
simplyprint_ws_client.core.ws_protocol	simplyprint_ws_client.cloud.protocol	module	A
simplyprint_ws_client.core.config.config	simplyprint_ws_client.cloud.config	module	A
simplyprint_ws_client.shared.files	simplyprint_ws_client.cloud.files	module	A
simplyprint_ws_client.shared.sp	simplyprint_ws_client.cloud.api	module	A
simplyprint_ws_client.core.ws_protocol.connection.Connection	simplyprint_ws_client.cloud.protocol.connection.SimplyPrintConnection	class	A
simplyprint_ws_client.core.ws_protocol.protocol.ClientProtocol	simplyprint_ws_client.cloud.protocol.protocol.CloudProtocol	class	A
simplyprint_ws_client.core.ws_protocol.events.ConnectionEvent	simplyprint_ws_client.cloud.protocol.events.SimplyPrintConnectionEvent	class	A
simplyprint_ws_client.core.ws_protocol.events.ConnectionIncomingEvent	simplyprint_ws_client.cloud.protocol.events.SimplyPrintConnectionIncomingEvent	class	A
simplyprint_ws_client.core.ws_protocol.events.ConnectionOutgoingEvent	simplyprint_ws_client.cloud.protocol.events.SimplyPrintConnectionOutgoingEvent	class	A
simplyprint_ws_client.core.ws_protocol.events.ConnectionEstablishedEvent	simplyprint_ws_client.cloud.protocol.events.SimplyPrintConnectionEstablishedEvent	class	A
simplyprint_ws_client.core.ws_protocol.events.ConnectionLostEvent	simplyprint_ws_client.cloud.protocol.events.SimplyPrintConnectionLostEvent	class	A
simplyprint_ws_client.core.ws_protocol.events.ConnectionSuspectEvent	simplyprint_ws_client.cloud.protocol.events.SimplyPrintConnectionSuspectEvent	class	A
simplyprint_bambu.core.config.identity.assign_unique_id	simplyprint_ws_client.device.discovery.identity.assign_unique_id	promotion	A
simplyprint_bambu.core.config.identity.capture_hardware_id	simplyprint_ws_client.device.discovery.identity.capture_hardware_id	promotion	A
simplyprint_bambu.core.discovery.reconcile	simplyprint_ws_client.device.discovery.reconcile	promotion	A
simplyprint_bambu.core.discovery.candidates	simplyprint_ws_client.device.discovery.candidates	promotion	A
simplyprint_ws_client.contrib.connection.connection.Connection	simplyprint_ws_client.device.connection.lease.Lease	class	B
simplyprint_ws_client.contrib.connection.connection.WsConnection	simplyprint_ws_client.device.connection.lease.WsLease	class	B
simplyprint_ws_client.contrib.connection.connection.MqttConnection	simplyprint_ws_client.device.connection.lease.MqttLease	class	B
simplyprint_ws_client.contrib.connection.events.ConnectionEvent	simplyprint_ws_client.common.wire.events.WireEvent	class	B
simplyprint_ws_client.contrib.connection.events	simplyprint_ws_client.common.wire.events	module	B
simplyprint_ws_client.contrib.connection.transport	simplyprint_ws_client.common.wire.transport	module	B
simplyprint_ws_client.contrib.connection.reconnect	simplyprint_ws_client.common.wire.reconnect	module	B
simplyprint_ws_client.contrib.connection.policy	simplyprint_ws_client.common.wire.policy	module	B
simplyprint_ws_client.contrib.connection.state	simplyprint_ws_client.common.wire.state	module	B
simplyprint_ws_client.contrib.connection.errors	simplyprint_ws_client.common.wire.errors	module	B
simplyprint_ws_client.contrib.connection.messages	simplyprint_ws_client.common.wire.messages	module	B
